,0
174,0.89747363
175,2.401014
176,0.8284488
177,0.48131767
178,-0.07137887
179,0.21326269
180,0.39473885
181,1.0093882
182,1.3023698
183,1.3271145
184,2.2541432
185,1.8838459
186,1.7393215
187,1.2996824
188,1.8849131
189,1.0695313
190,2.0000315
191,0.1654301
192,1.6462629
193,1.5870631
194,2.8917844
195,-0.09374562
196,3.3452518
197,2.1324918
198,1.9433323
199,0.16033062
200,0.93330514
201,1.1585323
202,-0.46706867
203,-0.19745532
204,1.7278672
205,0.85366833
206,2.0708852
207,1.4974357
208,3.3007557
209,2.5991755
210,2.5568843
211,-0.9462685
212,2.9312088
213,1.3824271
214,1.0658728
215,0.2926166
216,2.0968282
217,1.8541836
218,1.8900214
219,1.5985956
220,0.166525
221,1.0626739
222,1.5284165
223,2.377017
224,0.6688683
225,1.197867
226,-0.0809464
227,0.729591
228,1.4684881
229,1.4191881
230,1.8587968
231,1.2425399
232,2.5181746
233,0.39848328
234,1.9657079
235,1.7617109
236,1.2470496
237,1.0927947
238,3.5509052
239,1.2524017
240,1.08081
241,1.4012566
242,1.0257715
243,1.2594321
244,0.9125675
245,0.70917666
246,0.6255353
247,2.197123
248,1.3401853
249,0.01418712
250,0.72525054
251,-0.23399024
252,1.4493139
253,0.648123
254,-0.24291496
255,1.4082668
256,0.6266883
257,1.0013525
258,0.837621
259,2.004463
260,1.9968833
261,1.6072148
262,2.5624409
263,1.1333784
264,1.8613504
265,1.2475345
266,2.019043
267,0.6467857
268,0.96953696
269,0.44143486
270,1.1780589
271,3.0667958
272,1.4421521
273,0.95890355
274,0.74149615
275,0.5827378
276,1.7610428
277,1.6777021
278,0.73845387
279,0.7565041
280,0.8539045
281,1.5939773
282,1.728068
283,1.5338078
284,1.5994128
285,1.3048779
286,2.2491333
287,-0.23665869
288,1.5556605
289,0.26210558
290,0.19108917
291,-0.1321357
292,0.57433844
293,-0.42921278
294,0.28658766
295,1.0386591
296,-0.8637309
297,0.47742552
298,-0.94556385
299,-0.12880552
300,0.59745026
301,0.14627862
302,1.0583851
303,-0.29851297
304,1.9110924
305,2.0637689
306,1.5998434
307,1.4793893
308,1.6313193
309,0.8681699
310,2.0570211
311,0.21968189
312,2.1218495
313,1.597334
314,2.367322
315,1.8357052
316,2.550945
317,2.6505125
318,2.2435136
319,1.9647154
320,0.18953331
321,0.6592755
322,-0.31815696
323,0.042734373
324,1.3451041
325,0.59751594
326,2.7865984
327,0.610569
328,1.7041782
329,1.8905493
330,2.8634064
331,1.6966932
332,1.7456813
333,1.3816769
334,2.4977312
335,1.5236808
336,1.5801817
337,0.8064596
338,1.7717116
339,1.1657382
340,1.4804868
341,0.8035259
342,0.89747363
343,2.401014
344,0.8284488
345,0.48131767
346,-0.07137887
347,0.21326269
348,0.39473885
349,1.0093882
350,1.3023698
351,1.3271145
352,2.2541432
353,1.8838459
354,1.7393215
355,1.2996824
356,1.8849131
357,1.0695313
358,2.0000315
359,0.1654301
360,1.6462629
361,1.5870631
362,2.8917844
363,-0.09374562
364,3.3452518
365,2.1324918
366,1.9433323
367,0.16033062
368,0.93330514
369,1.1585323
370,-0.46706867
371,-0.19745532
372,1.7278672
373,0.85366833
374,2.0708852
375,1.4974357
376,3.3007557
377,2.5991755
378,2.5568843
379,-0.9462685
380,2.9312088
381,1.3824271
382,1.0658728
383,0.2926166
384,2.0968282
385,1.8541836
386,1.8900214
387,1.5985956
388,0.166525
389,1.0626739
390,1.5284165
391,2.377017
392,0.6688683
393,1.197867
394,-0.0809464
395,0.729591
396,1.4684881
397,1.4191881
398,1.8587968
399,1.2425399
